2023-01-10 19:31:24,755 - 's'
2023-01-10 19:31:24,910 - 's'
2023-01-10 19:31:25,074 - 's'
2023-01-10 19:31:25,238 - 's'
2023-01-10 19:31:25,378 - 's'
2023-01-10 19:31:27,582 - 's'
2023-01-10 19:31:28,810 - 's'
2023-01-10 19:31:28,998 - 's'
2023-01-10 19:31:29,166 - 's'
2023-01-10 19:31:29,334 - 's'
2023-01-10 19:31:29,510 - 's'
2023-01-10 19:31:29,671 - 's'
2023-01-10 19:31:30,746 - Key.ctrl
2023-01-10 19:31:31,554 - 'c'
2023-02-01 14:17:52,927 - Key.alt
2023-02-01 14:17:53,050 - Key.tab
2023-02-01 14:17:56,950 - 't'
2023-02-01 14:17:57,178 - 'h'
2023-02-01 14:17:57,269 - 'i'
2023-02-01 14:17:57,410 - 's'
2023-02-01 14:17:57,610 - Key.space
2023-02-01 14:17:57,754 - 'i'
2023-02-01 14:17:57,850 - 's'
2023-02-01 14:17:58,042 - Key.space
2023-02-01 14:17:58,233 - 'a'
2023-02-01 14:17:58,289 - Key.space
2023-02-01 14:17:58,477 - Key.space
2023-02-01 14:17:58,705 - 't'
2023-02-01 14:17:58,769 - 'e'
2023-02-01 14:17:58,985 - 's'
2023-02-01 14:17:59,134 - 't'
2023-02-01 14:17:59,421 - Key.alt
2023-02-01 14:17:59,577 - Key.tab
2023-02-01 14:18:10,953 - Key.down
2023-02-01 14:18:11,316 - Key.left
2023-02-01 14:18:11,569 - Key.down
2023-02-01 14:18:11,768 - Key.down
2023-02-01 14:18:11,776 - Key.right
2023-02-01 14:18:11,977 - Key.down
2023-02-01 14:18:12,136 - Key.down
2023-02-01 14:18:12,212 - Key.left
2023-02-01 14:18:12,520 - Key.down
2023-02-01 14:18:12,773 - Key.up
2023-02-01 14:18:12,968 - Key.up
2023-02-01 14:18:13,164 - Key.up
2023-02-01 14:18:13,325 - Key.up
2023-02-01 14:18:13,504 - Key.up
2023-02-01 14:18:13,689 - Key.up
2023-02-01 14:18:13,869 - Key.up
2023-02-01 14:18:22,748 - Key.ctrl
2023-02-01 14:18:22,869 - 'a'
2023-02-01 14:18:23,237 - 'k'
2023-02-01 14:18:23,416 - 'e'
2023-02-01 14:18:23,640 - Key.space
2023-02-01 14:18:23,848 - 's'
2023-02-01 14:18:24,032 - 'u'
2023-02-01 14:18:24,231 - 'i'
2023-02-01 14:18:24,356 - 's'
2023-02-01 14:18:24,539 - Key.space
2023-02-01 14:18:25,011 - 'e'
2023-02-01 14:18:25,176 - 'n'
2023-02-01 14:18:25,255 - Key.space
2023-02-01 14:18:25,568 - 't'
2023-02-01 14:18:25,688 - 'r'
2023-02-01 14:18:25,927 - 'a'
2023-02-01 14:18:26,019 - 'i'
2023-02-01 14:18:26,203 - 'n'
2023-02-01 14:18:26,248 - Key.space
2023-02-01 14:18:26,395 - 'd'
2023-02-01 14:18:26,483 - 'e'
2023-02-01 14:18:26,627 - Key.space
2023-02-01 14:18:26,792 - 'm'
2023-02-01 14:18:26,899 - 'a'
2023-02-01 14:18:27,059 - 'n'
2023-02-01 14:18:27,260 - 'g'
2023-02-01 14:18:27,419 - 'e'
2023-02-01 14:18:27,476 - 'r'
2023-02-01 14:18:28,515 - Key.alt
2023-02-01 14:18:28,811 - Key.tab
2023-02-01 14:18:36,423 - Key.page_up
2023-02-01 14:18:37,155 - Key.page_down
2023-02-01 14:18:37,843 - Key.up
2023-02-01 14:19:00,630 - Key.alt
2023-02-01 14:19:00,798 - Key.tab
2023-02-01 14:19:04,177 - Key.alt
2023-02-01 14:19:04,349 - Key.tab
2023-02-01 14:19:06,597 - 'k'
2023-02-01 14:19:06,777 - 'i'
2023-02-01 14:19:06,990 - 'l'
2023-02-01 14:19:07,142 - 'l'
2023-02-01 14:19:07,506 - Key.space
2023-02-01 14:19:08,158 - '-'
2023-02-01 14:19:08,358 - Key.shift
2023-02-01 14:19:08,974 - '9'
2023-02-01 14:19:11,394 - Key.space
2023-02-01 14:19:13,034 - '3'
2023-02-01 14:19:13,265 - '2'
2023-02-01 14:19:13,690 - '6'
2023-02-01 14:19:14,026 - '7'
2023-02-01 14:19:14,902 - Key.backspace
2023-02-01 14:19:16,465 - '2'
2023-02-01 14:19:16,838 - '7'
2023-02-01 14:19:19,952 - Key.space
2023-02-01 14:19:20,541 - '&'
2023-02-01 14:19:20,976 - Key.enter
